event_id,device_id,timestamp,longitude,latitude,city,state,gender,age,group,phone_brand,device_model
617393.0,3508989809324087808,2016-05-02 00:44:50,78.510305,17.482146999999998,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
622851.0,4623214080956558336,2016-05-02 07:49:58,78.52836400000002,17.433518,Hyderabad,Telangana,F,28.0,F27-28,Huawei,荣耀3C
625079.0,8618343247036183552,2016-05-06 08:22:19,78.50332900000002,17.487030999999998,Hyderabad,Telangana,F,66.0,F43+,vivo,Y13
629002.0,6349139484226491392,2016-05-07 10:40:30,78.52884499999998,17.470550999999997,Hyderabad,Telangana,M,27.0,M27-28,Samsung,Galaxy A7
629522.0,-7591511241211994112,2016-05-03 11:13:37,78.565084,17.497933999999994,Hyderabad,Telangana,M,44.0,M39+,Xiaomi,MI 4
631071.0,-6397218638081495040,2016-05-02 12:02:20,78.552788,17.419617000000002,Hyderabad,Telangana,M,29.0,M29-31,LeEco,超级手机1s
631077.0,7806298636210591744,2016-05-02 12:10:09,78.52269100000002,17.480069999999998,Hyderabad,Telangana,M,22.0,M22-,Samsung,Galaxy Note 8.0
634168.0,-1296319686123153920,2016-05-02 14:05:00,78.57762100000002,17.478133,Hyderabad,Telangana,F,35.0,F33-42,Samsung,Galaxy Note 3
638323.0,-3050074331412686336,2016-05-01 17:34:25,78.53020500000002,17.477242999999998,Hyderabad,Telangana,F,31.0,F29-32,努比亚,Z7 Mini
638658.0,-2829453259480631808,2016-05-02 17:04:53,78.53625799999998,17.421733999999994,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
639235.0,7395814662869848064,2016-05-04 17:49:37,78.53206,17.480210999999994,Hyderabad,Telangana,F,25.0,F24-26,Lenovo ,AxonMini
641004.0,3611992091268252160,2016-05-05 18:24:13,78.50943500000002,17.428037,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
643838.0,-7409267423009513472,2016-05-02 20:55:03,78.52051800000002,17.418065,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
644284.0,-7940336567350739968,2016-05-04 20:02:58,78.511374,17.469607999999994,Hyderabad,Telangana,F,20.0,F23-,Huawei,Mate 7
647604.0,-2466241363873064960,2016-05-02 22:01:22,78.55098000000002,17.488170999999998,Hyderabad,Telangana,M,27.0,M27-28,Huawei,荣耀畅玩4C
649793.0,8095960863008204800,2016-05-04 23:08:14,78.52662099999998,17.427319999999998,Hyderabad,Telangana,F,20.0,F23-,OPPO,R1C
650798.0,5512391186453948416,2016-05-02 00:21:29,78.56005,17.472966999999993,Hyderabad,Telangana,M,43.0,M39+,Samsung,Galaxy Note 2
651632.0,8792613121460262912,2016-05-01 01:36:30,78.544449,17.468739999999997,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
651814.0,-158050663359718720,2016-05-04 01:11:30,78.57145100000002,17.489127,Hyderabad,Telangana,F,45.0,F43+,Samsung,Galaxy S4
652961.0,-7355450742113633280,2016-05-05 04:23:23,78.567924,17.477632,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
653551.0,-7504810843006204928,2016-05-06 05:44:27,78.508353,17.483620000000002,Hyderabad,Telangana,F,27.0,F27-28,Coolpad,5890
653699.0,8631355392518530048,2016-05-01 06:37:23,78.542754,17.449244999999998,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
653728.0,-2501502554834397696,2016-05-01 06:00:01,78.51533500000002,17.468196,Hyderabad,Telangana,F,37.0,F33-42,TCL,P502U
657157.0,-8609315622020787200,2016-05-01 09:13:29,78.569224,17.476896,Hyderabad,Telangana,F,21.0,F23-,Xiaomi,MI 4
659804.0,4705697949365095424,2016-05-06 10:23:37,78.546065,17.481088,Hyderabad,Telangana,F,30.0,F29-32,Huawei,荣耀畅玩4X
659891.0,-4755270419516683264,2016-05-07 10:12:32,78.52701900000002,17.473329999999994,Hyderabad,Telangana,M,44.0,M39+,Xiaomi,MI 4
660257.0,227196771276182496,2016-05-01 11:15:08,78.499779,17.420814999999994,Hyderabad,Telangana,F,38.0,F33-42,Samsung,Galaxy S5
662546.0,-8741798426907867136,2016-05-06 12:06:33,78.563872,17.416857,Hyderabad,Telangana,M,21.0,M22-,LeEco,超级手机Max
662943.0,-8015513808653679616,2016-05-07 12:08:45,78.510439,17.482257999999998,Hyderabad,Telangana,M,26.0,M23-26,Huawei,荣耀6
663733.0,-7386548654179097600,2016-05-05 00:51:14,78.495925,17.45703,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
666629.0,334158445855289344,2016-05-04 05:33:14,78.497558,17.493873999999998,Hyderabad,Telangana,M,18.0,M22-,Xiaomi,MI 3
669182.0,-9010787460625657856,2016-05-05 07:45:06,78.56448499999998,17.475793,Hyderabad,Telangana,F,24.0,F24-26,vivo,Y11IT
670528.0,-4927966958122692608,2016-05-01 09:04:33,78.513542,17.476283,Hyderabad,Telangana,M,16.0,M22-,Xiaomi,MI 2S
671030.0,-2159085390510280704,2016-05-02 09:11:30,78.579578,17.444806999999994,Hyderabad,Telangana,F,40.0,F33-42,vivo,Y11
671131.0,-2639208780299085824,2016-05-03 09:01:49,78.492576,17.447758,Hyderabad,Telangana,M,22.0,M22-,Xiaomi,MI 1S
672394.0,5346108790540823552,2016-05-01 10:45:07,78.503714,17.482878,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
673874.0,5746703519920555008,2016-05-06 10:29:01,78.50357199999998,17.464917,Hyderabad,Telangana,F,30.0,F29-32,vivo,X5Max
675572.0,4524704423573607936,2016-05-07 11:10:08,78.535313,17.476872,Hyderabad,Telangana,F,51.0,F43+,vivo,X710L
675674.0,1708928842714344448,2016-05-07 11:27:56,78.527097,17.452758,Hyderabad,Telangana,M,40.0,M39+,Xiaomi,红米
676181.0,2257159551899999232,2016-05-02 12:27:19,78.541774,17.436514000000006,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
676282.0,-9160645806948540416,2016-05-03 12:26:09,78.525887,17.470990999999998,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
679564.0,7690261349530060800,2016-05-02 14:53:05,78.56396000000002,17.475486,Hyderabad,Telangana,M,21.0,M22-,Meizu,MX4
679849.0,5803363128606204928,2016-05-04 14:23:04,78.51258800000002,17.459046999999998,Hyderabad,Telangana,M,32.0,M32-38,Samsung,Galaxy Note 2
680266.0,-2670644926282578944,2016-05-06 14:11:58,78.54241800000001,17.414263000000002,Hyderabad,Telangana,M,22.0,M22-,vivo,X5L
681340.0,3516205452329436672,2016-05-04 15:10:26,78.525037,17.417274,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
682148.0,4521878286581046272,2016-05-07 15:24:38,78.554438,17.460624,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
682654.0,3176332892426103296,2016-05-03 16:55:14,78.548866,17.468301999999998,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
683021.0,-1649173611732795904,2016-05-04 16:09:04,78.499847,17.417358,Hyderabad,Telangana,F,25.0,F24-26,Huawei,Ascend G6
685571.0,-6508086610910248960,2016-05-02 18:23:10,78.50412,17.443566999999998,Hyderabad,Telangana,M,32.0,M32-38,vivo,Y33
687664.0,-2753130827163219968,2016-05-02 15:37:09,78.56961899999997,17.420316,Hyderabad,Telangana,M,29.0,M29-31,Samsung,Galaxy Note 3
688027.0,-1598151670412491264,2016-05-03 19:29:57,78.49929300000002,17.497071,Hyderabad,Telangana,F,35.0,F33-42,vivo,Y13
690475.0,-3968659931554374656,2016-05-07 20:54:36,78.529838,17.443583999999998,Hyderabad,Telangana,Not_Available,Not_Available,Not_Available,Not_Available,Not_Available
690559.0,6374005267228152832,2016-05-07 20:47:01,78.571268,17.428950999999998,Hyderabad,Telangana,F,26.0,F24-26,Samsung,Galaxy J7
690774.0,3368259724623451136,2016-05-01 21:16:46,78.512674,17.418135999999997,Hyderabad,Telangana,F,37.0,F33-42,Xiaomi,MI 2S
692242.0,-7785459199860531200,2016-05-06 21:55:45,78.50728199999998,17.411533,Hyderabad,Telangana,M,18.0,M22-,Samsung,Galaxy Trend 2
694148.0,661652337144803200,2016-05-04 00:10:18,78.537251,17.414438999999998,Hyderabad,Telangana,M,19.0,M22-,Xiaomi,MI 2S
695859.0,8645587781693692928,2016-05-03 01:36:05,78.50446099999998,17.427395999999998,Hyderabad,Telangana,M,19.0,M22-,Xiaomi,MI 3
696346.0,-3321518132881690624,2016-05-02 02:21:03,78.53703200000002,17.481165999999998,Hyderabad,Telangana,M,26.0,M23-26,Xiaomi,MI 4
696423.0,-8453134016534814720,2016-05-04 02:25:08,78.55590500000002,17.43459,Hyderabad,Telangana,M,24.0,M23-26,Samsung,Galaxy S6
